Year,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP)","Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)",Population ages 65 and above (% of total population),CO2 emissions (metric tons per capita)
1966,North America,NAC,,2.72364019,70.37807047,,9.410349638,17.64292429
1966,Sub-Saharan Africa,SSF,,6.682992089,42.89268563,,3.018374173,0.679236184
1966,World,WLD,,4.992084743,56.07848103,,5.114237919,3.534191045
1967,Australia,AUS,,2.848,70.86926829,22,8.461122224,10.9556248
1967,Caribbean small states,CSS,,5.23825737,64.94362496,,4.646828747,2.976362509
1967,Central African Republic,CAF,,5.952,40.005,241.6,4.843464446,0.053664273
1967,Central Europe and the Baltics,CEB,,2.470612864,69.27274219,,8.767086161,7.143074036
1967,East Asia & Pacific,EAS,,5.643103137,56.09866197,,3.850140721,1.0748875
1967,Europe & Central Asia,ECS,,2.714593488,68.62062123,,9.350409537,9.335340675
1967,Latin America & Caribbean,LCN,,5.522358627,59.13550366,,3.830615281,1.557422865
1967,Middle East & North Africa,MEA,,6.879974885,51.03924984,,3.722229221,1.771404059
1967,North America,NAC,,2.555146424,70.71438226,,9.520328482,18.15419062
1967,Sub-Saharan Africa,SSF,,6.696431978,43.28888661,,3.022002414,0.688800677
1967,World,WLD,,4.97327569,56.78377389,,5.168272596,3.585995251
1968,Australia,AUS,,2.888,70.91902439,21.9,8.37843035,11.21016771
1968,Caribbean small states,CSS,,5.118622335,65.18699358,,4.710757422,2.938122789
1968,Central African Republic,CAF,,5.956,40.703,235.2,4.80124344,0.105119946
1968,Central Europe and the Baltics,CEB,,2.452778435,69.5360253,,8.984830641,7.561579657
1968,East Asia & Pacific,EAS,,5.56916311,57.47033552,,3.907408574,1.164343423
1968,Europe & Central Asia,ECS,,2.66106046,68.68901643,,9.526242083,9.665967546
1968,Latin America & Caribbean,LCN,,5.424048139,59.56154769,,3.865283283,1.613820852
1968,Middle East & North Africa,MEA,,6.840179187,51.58860996,,3.724647028,1.994392954
1968,North America,NAC,,2.456517576,70.17624157,,9.634571113,18.67382277
1968,Sub-Saharan Africa,SSF,,6.71112465,43.68946231,,3.018626541,0.686425617
1968,World,WLD,,4.922089469,57.38627318,,5.218143246,3.704543018
1969,Australia,AUS,,2.886,70.96878049,21.7,8.303780105,11.60055435
1969,Caribbean small states,CSS,,4.992995999,65.41993137,,4.776975294,3.076164721
1969,Central African Republic,CAF,,5.958,41.444,229.1,4.750511704,0.105132472
1969,Central Europe and the Baltics,CEB,,2.355258921,69.2757342,,9.20925243,8.067365367
1969,East Asia & Pacific,EAS,,5.436360392,58.69046374,,3.956567606,1.320421097
1969,Europe & Central Asia,ECS,,2.610024238,68.69425148,,9.703978796,10.08133776
